Latitude, Longitude, Date Observed, Time Observed, Smell Rating, Description, Cause
43.664474805343,-79.392403396353,2024-11-20,14:34,moderate,abc,def
43.705393794847,-79.42722259541,2024-11-23,14:00,moderate,abc,def
43.664220621488,-79.464417964317,2024-11-29,19:30,no-smell,abc,def
43.65983418516,-79.477211067389,2024-11-30,22:12,mild,abc,def
43.664474805343,-79.392403396353,2024-12-01,23:17,severe,abc,def
43.651209085799,-79.488133798459,2024-12-02,22:17,moderate,abc,def
43.667680260225,-79.313115522688,2024-12-01,22:19,mild,abc,def
43.66150804474,-79.428081557193,2024-12-03,00:05,severe,abc,def
43.649571470308,-79.397651083497,2024-12-05,15:21,moderate,abc,def
43.672157884135,-79.420899184927,2024-12-09,15:17,moderate,abc,def
43.639309536768,-79.444909612817,2024-12-10,21:01,severe,abc,def
43.668365521031,-79.48475282355,2024-12-11,16:25,no-smell,abc,def
43.654211797654,-79.350110249347,2024-12-12,10:37,no-smell,abc,def
43.660171666817,-79.328814740162,2024-12-12,10:42,moderate,ghi,jkl
43.663151379569,-79.312671370296,2024-12-12,10:45,mild,abc,abc
43.638812731066,-79.454526939545,2024-12-12,10:48,no-smell,blank,blank
43.659923350746,-79.461052982683,2024-12-18,16:15,no-smell,blank,blank
43.682019459364,-79.344958110028,2024-12-18,16:17,mild,blank,blank
43.635831810595,-79.399570786809,2024-12-18,16:19,moderate,blank,blank
43.682268273684,-79.428079138628,2024-12-29,19:11,moderate,blank,blank
